Category,Item Number,Food Name,Calories (kcal),Protein (g),Carbs (g),Fat (g),Sodium (mg),Fibre (g)
Protein Sources,1,Chicken breast (raw),100,23.3,0,0.8,45,0
Protein Sources,2,Chicken thigh (raw),132,18.6,0,6.3,85,0
Protein Sources,3,Turkey breast (raw),107,24,0,1.2,63,0
Protein Sources,4,Lean ground beef 90/10 (raw),176,20,0,10,66,0
Protein Sources,5,Salmon Atlantic (raw),183,19.9,0,10.8,44,0
Protein Sources,6,Cod (raw),85,17,0,2,54,0
Protein Sources,7,Tuna steak (raw),156,21.9,0,6.9,45,0
Protein Sources,8,Tuna canned in water (drained),91,21.4,0,0.5,250,0
Protein Sources,9,"Shrimp (raw, peeled)",72,13.6,2.9,0.6,150,0
Protein Sources,10,Whole egg (raw),128,12.3,0,8.7,142,0
Protein Sources,11,Egg white (raw),43,10.7,0,0,166,0
Protein Sources,12,Tofu firm (drained),149,16,0.7,8.8,12,0.3
Protein Sources,13,Greek yogurt 0% fat,61,10.3,3.6,0.4,36,0
Protein Sources,14,Cottage cheese low-fat,98,11.5,2.8,4.5,330,0
Protein Sources,15,Mozzarella low-fat,131,20,1.4,5,400,0
Protein Sources,16,Parmesan (grated),392,35.7,3.2,25.8,1600,0
Protein Sources,17,Whey protein powder,354,79,4.1,1.8,300,0
Protein Sources,18,Beef sirloin steak (raw),140,22,0.2,5.7,53,0
Protein Sources,19,Beef mince 5% fat (raw),137,21,0,6,66,0
Protein Sources,20,Veal escalopes (raw),110,20.2,0,2.6,90,0
Protein Sources,21,Pork tenderloin (raw),116,21,0,2.8,50,0
Protein Sources,22,"Pork loin chop, lean (raw)",194,19.5,0,12.2,56,0
Protein Sources,23,"Lamb leg, lean (raw)",102,20,0,2.5,65,0
Protein Sources,24,Rabbit meat (raw),118,19.9,0,4.3,41,0
Protein Sources,25,Chicken breast deli slices (cooked),100,23.3,0,0.8,720,0
Protein Sources,26,Prosciutto crudo (dry-cured ham),271,25.7,0.5,18.6,2340,0
Protein Sources,27,Prosciutto cotto (cooked ham),138,15.7,1,7.6,950,0
Protein Sources,28,Bresaola (air-dried beef),153,31.1,2.7,1.9,1600,0
Protein Sources,29,Speck (smoked cured ham),266,30,0.5,16,1900,0
Protein Sources,30,Mortadella (Italian pork sausage),280,16,1.5,24,1100,0
Protein Sources,31,Guanciale (cured pork cheek),655,8,0,69,1500,0
Protein Sources,32,Pancetta (cured pork belly),402,13,1,41,1800,0
Protein Sources,33,"Ricotta cheese, lean",103,8,5.5,5.4,80,0
Protein Sources,34,"Skyr yogurt, plain (0-2% fat)",61,11,4,0.2,50,0
Protein Sources,35,"Kefir, plain (low-fat)",46,4,4,1.5,40,0
Protein Sources,36,Halloumi cheese,321,21,2.6,25,1350,0
Protein Sources,37,"Sardines, canned in water (drained)",163,22.9,0,7.9,330,0
Protein Sources,38,"Sardines, canned in olive oil (drained)",208,24.6,0,11.4,350,0
Protein Sources,39,"Anchovies, jarred in oil (drained)",206,26.9,2.4,9.8,3668,0
Protein Sources,40,Mackerel fillet (raw),167,19.3,0,9.3,90,0
Protein Sources,41,Sea bass (raw fillet),148,22.1,0.5,5.8,68,0
Protein Sources,42,"Mussels (raw, shelled)",86,11.9,3.7,2.2,286,0
Carbohydrate Sources,1,White rice (dry),359,7,80.3,1,5,1.3
Carbohydrate Sources,2,Brown rice (dry),352,7.9,71.7,2.8,7,3.5
Carbohydrate Sources,3,Pasta durum wheat (dry),358,14,70,1,6,3.2
Carbohydrate Sources,4,Quinoa (dry),374,13.1,68.9,5.8,5,7
Carbohydrate Sources,5,Oats rolled (dry),363,12.3,63.3,7,2,10
Carbohydrate Sources,6,Wholegrain bread,259,9.1,47.1,4.1,450,7
Carbohydrate Sources,7,"Potato white (raw, peeled)",72,2,16,0.1,6,1.5
Carbohydrate Sources,8,"Sweet potato (raw, peeled)",86,1.6,20.1,0,55,3
Carbohydrate Sources,9,Beans mixed (DRY),311,23.6,51.7,2.5,12,15
Carbohydrate Sources,10,Beans canned (drained),82,5.2,14.5,0.6,250,4.8
Carbohydrate Sources,11,Banana (peeled),89,1,22.8,0.4,1,2.6
Carbohydrate Sources,12,Apple (whole),59,0.3,14,0.2,1,2.4
Carbohydrate Sources,13,Blueberries (fresh),57,0.7,14.6,0.3,1,2.4
Carbohydrate Sources,14,Kiwi (peeled),54,1,11,0.3,3,3
Carbohydrate Sources,15,All Bran cereal (dry),313,12,47,2.8,720,27
Carbohydrate Sources,16,Wasa crackers,330,8.7,61.7,4.3,480,17
Carbohydrate Sources,17,Arborio rice (dry),359,7,80.3,1,5,1.4
Carbohydrate Sources,18,Carnaroli rice (dry),359,7,80.3,1,5,1.4
Carbohydrate Sources,19,Basmati rice (dry),359,7,80.3,1,5,1.3
Carbohydrate Sources,20,"Couscous, durum wheat semolina (dry)",376,12.7,77.4,0.6,10,5
Carbohydrate Sources,21,Bulgur wheat (dry),352,12,69,2,17,12.5
Carbohydrate Sources,22,Pearl barley (dry),364,9.9,74,1.5,9,15.6
Carbohydrate Sources,23,Farro / spelt grains (dry),342,11,63,3.2,8,7
Carbohydrate Sources,24,Polenta / cornmeal (dry),364,6.2,80.8,1.7,7,7
Carbohydrate Sources,25,"Gnocchi (fresh, potato)",155,5.2,33,0.1,400,2
Carbohydrate Sources,26,Sourdough bread (sliced),270,9.4,49.2,3.6,480,2.9
Carbohydrate Sources,27,Ciabatta bread (white),270,9.4,49.2,3.6,540,2.7
Carbohydrate Sources,28,Focaccia bread (plain),340,7.6,48.1,12.7,540,2.5
Carbohydrate Sources,29,Pita bread (white),270,9.4,49.2,3.6,520,2.2
Carbohydrate Sources,30,Rye bread (sliced),254,12.3,43.1,3.5,600,5.8
Carbohydrate Sources,31,Corn tortillas (as purchased),218,5.7,44.6,2.5,160,6
Carbohydrate Sources,32,Oat flour (dry),376,12,62,6.5,2,6.5
Carbohydrate Sources,33,Semolina flour (dry),356,11.7,73.8,1.6,1,3.9
Carbohydrate Sources,34,Chickpeas (dry),329,22,48,2,24,17
Carbohydrate Sources,35,"Chickpeas (canned, drained & rinsed)",96,4.7,15,0.6,240,6.4
Carbohydrate Sources,36,Lentils (dry),352,25.8,60.1,1.1,6,30.5
Carbohydrate Sources,37,Cannellini beans (dry),325,23,46,1.6,16,15.2
Carbohydrate Sources,38,"Cannellini beans (canned, drained & rinsed)",96,6.6,12.8,0.6,250,6.3
Carbohydrate Sources,39,"Red kidney beans (canned, drained & rinsed)",127,7.8,21,1.3,220,6.4
Carbohydrate Sources,40,"Green peas (canned, drained & rinsed)",80,4.7,12.7,1.1,240,4.1
Carbohydrate Sources,41,Chestnut flour (dry),385,5.3,80.5,4.6,12,11
Fats and Oils,1,Olive oil,900,0,0,100,2,0
Fats and Oils,2,Avocado (flesh),238,4.4,1.8,23,7,6.7
Fats and Oils,3,Peanut butter (natural),631,24,22.7,49.4,17,6
Fats and Oils,4,Almond butter (natural),666,27,7.4,57,4,10
Fats and Oils,5,Mixed nuts (unsalted),655,17.2,8.6,59.5,5,7
Fats and Oils,6,Dark chocolate 70%,566,9.5,35,41,12,11
Fats and Oils,7,Rapeseed (canola) oil,828,0,0,92,0,0
Fats and Oils,8,Sunflower oil,884,0,0,100,0,0
Fats and Oils,9,Avocado oil,828,0,0,92,0,0
Fats and Oils,10,"Butter, unsalted",745,0.9,0.1,81,11,0
Fats and Oils,11,Ghee (clarified butter),900,0,0,100,2,0
Fats and Oils,12,Lard,902,0,0,100,0,0
Fats and Oils,13,Duck fat,900,0,0,100,0,0
Fats and Oils,14,Coconut oil,900,0,0,100,0,0
Fats and Oils,15,Tahini (sesame paste),595,17,21,54,35,9.3
Fats and Oils,16,Sesame seeds,573,17.7,23.5,49.7,11,11.8
Fats and Oils,17,Chia seeds,445,21,4.9,31,16,34
Fats and Oils,18,Ground flaxseed (linseed),604,21,11,51,7,27
Fats and Oils,19,Pumpkin seeds (pepitas),634,30,15,49,7,6.5
Fats and Oils,20,Pine nuts,673,13.7,13.1,68.4,2,3.7
Fats and Oils,21,Walnuts,677,19,8.1,62,2,6.7
Fats and Oils,22,Hazelnuts,642,13.5,26.5,53.5,0,9.7
Fats and Oils,23,Pistachios,598,20.5,27.7,45,1,10.6
Fats and Oils,24,Cashew nuts,565,17.4,36.3,38.9,12,3.3
Fats and Oils,25,Almonds (whole),579,21.2,21.6,49.9,1,12.5
Fats and Oils,26,Macadamia nuts,718,7.8,13.8,75.7,5,8.6
Fats and Oils,27,Black olives (drained),152,1,1.5,15,750,3.2
Fats and Oils,28,Green olives (drained),152,1,1.5,15,1500,3.3
Fats and Oils,29,Pesto Genovese (prepared),539,11,3.8,53,850,1.5
Fats and Oils,30,Mayonnaise (full-fat),644,0.8,3,70,600,0
Fats and Oils,31,Mascarpone cheese,343,4.4,2.5,35,25,0
Vegetables,1,Broccoli (raw),31,2.6,6.3,0.3,33,2.6
Vegetables,2,Spinach (raw),23,2.9,3.6,0.6,79,2.2
Vegetables,3,Zucchini (raw),17,1,3.3,0.2,8,1
Vegetables,4,Asparagus (raw),20,2.2,3.9,0.1,2,2.1
Vegetables,5,Cauliflower (raw),25,1.9,5,0.3,30,2
Vegetables,6,Tomatoes (raw),22,0.7,3.8,0.4,5,1.2
Vegetables,7,Cucumber (raw),15,0.7,3.6,0.1,2,0.5
Vegetables,8,Red peppers (raw),31,0.9,6.7,0.1,4,2.1
Vegetables,9,Chard (raw),19,1.8,3.7,0.2,213,1.6
Vegetables,10,Green beans (raw),31,1.8,7,0.2,6,2.7
Vegetables,11,Artichokes jarred (drained),53,2.9,9,0.3,300,5.4
Vegetables,12,Tenderstem broccoli / broccolini (raw),31,2.6,6.3,0.3,33,2.6
Vegetables,13,Broccoli rabe / cime di rapa (raw),31,2.6,6.3,0.3,33,2.7
Vegetables,14,Cavolo nero / Tuscan kale (raw),49,4.3,8.8,0.9,38,3.6
Vegetables,15,Rocket / arugula (raw),25,2.6,3.7,0.7,27,1.6
Vegetables,16,Radicchio (raw),26,1.3,5,0.1,22,0.9
Vegetables,17,Fennel bulb (raw),31,1.2,7.3,0.2,52,3.1
Vegetables,18,Aubergine / eggplant (raw),25,1,5.9,0.2,2,3
Vegetables,19,Butternut squash (raw),48,1.1,10.5,0.2,4,2
Vegetables,20,Pumpkin (raw),26,1,6.5,0.1,1,0.5
Vegetables,21,Leek (raw),61,1.5,14.2,0.3,20,1.8
Vegetables,22,Spring onions / scallions (raw),32,1.8,7.3,0.2,16,2.6
Vegetables,23,Red onion (raw),44,0.9,9.9,0.1,4,1.7
Vegetables,24,Garlic cloves (raw),143,6.6,28.2,0.4,17,2.1
Vegetables,25,Celery stalks (raw),14,0.7,3,0.2,80,1.6
Vegetables,26,Carrots (raw),48,0.9,10.3,0.4,69,2.8
Vegetables,27,Beetroot (raw),45,1.7,8.8,0.3,78,2.8
Vegetables,28,"Mushrooms, button / champignon (raw)",31,2.9,4.1,0.4,5,1
Vegetables,29,"Mushrooms, porcini (dried)",316,30,34,4.5,30,26
Vegetables,30,"Mushrooms, oyster (raw)",41,2.9,6.9,0.2,18,2.3
Vegetables,31,Peas (frozen),77,5.2,13.7,0.3,72,5
Vegetables,32,Broad beans / fava beans (fresh),72,5.6,11.7,0.6,25,5.4
Vegetables,33,Brussels sprouts (raw),59,4,9.6,0.6,25,3.8
Vegetables,34,Savoy cabbage (raw),31,1,6.4,0.2,28,3.1
Vegetables,35,Romaine lettuce (raw),17,1.2,3.2,0.3,8,2.1
Vegetables,36,"Capers, pickled ",28,1.9,2,0.6,2950,3.2
Fruit,1,Banana (peeled),89,1,23,0.4,1,2.6
Fruit,2,Apple (whole),52,0.3,13.8,0.2,1,2.4
Fruit,3,Blueberries (fresh),51,1.3,14,0.3,1,2.4
Fruit,4,Kiwi (peeled),54,1,11,0.3,3,3
Fruit,5,"Pears (raw, Bartlett)",57,0.4,15.1,0.2,1,3.1
Fruit,6,"Pear (Anjou, green, raw)",64,0.3,14.8,0.4,1,3.1
Fruit,7,"Oranges (raw, navels)",47,0.9,11.8,0.1,1,2.2
Fruit,8,"Mandarin (seedless, peeled, raw)",72,1,17.6,0.3,2,1.8
Fruit,9,"Grapes, red (seedless, raw)",69,0.7,18.1,0.2,2,0.9
Fruit,10,"Grapes, green (seedless, raw)",69,0.7,18.1,0.2,2,0.9
Fruit,11,Strawberries (raw),36,0.6,8,0.2,1,2
Fruit,12,Raspberries (raw),52,1.2,11.9,0.7,1,6.5
Fruit,13,Blackberries (raw),43,1.4,9.6,0.5,1,5.3
Fruit,14,"Cherries (sweet, dark red, raw)",63,1.1,16,0.2,0,2.1
Fruit,15,"Peaches (yellow, raw)",42,0.9,10.1,0.3,0,1.5
Fruit,16,Nectarines (raw),39,1.1,9.2,0.3,0,1.7
Fruit,17,"Apricots (raw, with skin)",48,1.4,11.1,0.4,1,2
Fruit,18,"Plums (black, raw, with skin)",46,0.7,11.4,0.3,0,1.4
Fruit,19,Figs (dried),249,3.3,63.9,0.9,10,9.8
Fruit,20,"Melon, cantaloupe (raw)",34,0.8,8.2,0.2,16,0.9
Fruit,21,"Melon, honeydew (raw)",36,0.5,9.1,0.1,18,0.8
Fruit,22,"Watermelon (seedless, flesh only, raw)",30,0.6,7.6,0.2,1,0.4
Fruit,23,"Mango (Ataulfo, peeled, raw)",60,0.8,15,0.4,1,1.6
Fruit,24,"Mango (Tommy Atkins, peeled, raw)",60,0.8,15,0.4,1,1.6
Fruit,25,"Plantain (underripe, raw)",122,1.3,31.9,0.4,4,2.3
Fruit,26,"Plantain (ripe, raw)",122,1.3,32,0.4,4,2.3
Fruit,27,"Plantain (overripe, raw)",122,1.3,32.3,0.4,4,2.2
Fruit,28,"Pawpaw (peeled, seeded, raw)",43,0.5,10.8,0.3,8,1.7
Fruit,29,"Orange juice (no pulp, not from concentrate, refrigerated)",45,0.7,10.4,0.2,1,0.2
